Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
2.830993166666667, 0, 1, 1, 1, 1, 1, 1, 1
2.830993250000000, 0, 0, 1, 1, 1, 1, 1, 1
2.831175166666667, 0, 1, 1, 1, 1, 1, 1, 1
2.831176250000000, 0, 1, 0, 1, 1, 1, 1, 1
2.831279166666667, 0, 1, 1, 1, 1, 1, 1, 1
2.831279250000000, 0, 0, 1, 1, 1, 1, 1, 1
2.831305166666667, 0, 1, 1, 1, 1, 1, 1, 1
2.831306250000000, 0, 1, 0, 1, 1, 1, 1, 1
2.831565166666667, 0, 1, 1, 1, 1, 1, 1, 1
2.831565250000000, 0, 0, 1, 1, 1, 1, 1, 1
2.831591166666667, 0, 1, 1, 1, 1, 1, 1, 1
2.831592250000000, 0, 1, 0, 1, 1, 1, 1, 1
2.831617166666667, 0, 1, 1, 1, 1, 1, 1, 1
2.831617250000000, 0, 0, 1, 1, 1, 1, 1, 1
2.831721166666667, 0, 1, 1, 1, 1, 1, 1, 1
2.831722250000000, 0, 1, 0, 1, 1, 1, 1, 1
2.831851166666667, 0, 1, 1, 1, 1, 1, 1, 1
2.831851250000000, 0, 0, 1, 1, 1, 1, 1, 1
2.832059250000000, 0, 1, 1, 1, 1, 1, 1, 1
2.832060250000000, 0, 1, 0, 1, 1, 1, 1, 1
2.832137250000000, 0, 1, 1, 1, 1, 1, 1, 1
2.832137333333333, 0, 0, 1, 1, 1, 1, 1, 1
2.832215250000000, 0, 1, 1, 1, 1, 1, 1, 1
2.832216250000000, 0, 1, 0, 1, 1, 1, 1, 1
2.832267250000000, 0, 1, 1, 1, 1, 1, 1, 1
2.832267333333334, 0, 0, 1, 1, 1, 1, 1, 1
2.832345250000000, 0, 1, 1, 1, 1, 1, 1, 1
2.832346333333334, 0, 1, 0, 1, 1, 1, 1, 1
2.832423250000000, 0, 1, 1, 1, 1, 1, 1, 1
2.832423333333333, 0, 0, 1, 1, 1, 1, 1, 1
2.832631250000000, 0, 1, 1, 1, 1, 1, 1, 1
2.832632333333334, 0, 1, 0, 1, 1, 1, 1, 1
2.832709250000000, 0, 1, 1, 1, 1, 1, 1, 1
2.832709333333333, 0, 0, 1, 1, 1, 1, 1, 1
2.832787250000000, 0, 1, 1, 1, 1, 1, 1, 1
2.832788333333334, 0, 1, 0, 1, 1, 1, 1, 1
2.832813250000000, 0, 1, 1, 1, 1, 1, 1, 1
2.832813333333334, 0, 0, 1, 1, 1, 1, 1, 1
2.832839250000000, 0, 1, 1, 1, 1, 1, 1, 1
2.832840333333333, 0, 1, 0, 1, 1, 1, 1, 1
2.832891250000000, 0, 1, 1, 1, 1, 1, 1, 1
2.832891333333333, 0, 0, 1, 1, 1, 1, 1, 1
2.832917250000000, 0, 1, 1, 1, 1, 1, 1, 1
2.832918333333334, 0, 1, 0, 1, 1, 1, 1, 1
2.832995250000000, 0, 1, 1, 1, 1, 1, 1, 1
2.832995333333333, 0, 0, 1, 1, 1, 1, 1, 1
2.833021250000000, 0, 1, 1, 1, 1, 1, 1, 1
2.833022333333334, 0, 1, 0, 1, 1, 1, 1, 1
2.833125333333334, 0, 0, 1, 1, 1, 1, 1, 1
2.833229333333334, 0, 1, 1, 1, 1, 1, 1, 1
2.833230333333333, 0, 1, 0, 1, 1, 1, 1, 1
2.835016916666667, 0, 1, 1, 1, 1, 1, 1, 1
2.835017000000000, 0, 0, 1, 1, 1, 1, 1, 1
2.835042500000000, 0, 1, 1, 1, 1, 1, 1, 1
2.835043500000000, 0, 1, 0, 1, 1, 1, 1, 1
2.835068083333334, 0, 1, 1, 1, 1, 1, 1, 1
2.835068166666667, 0, 0, 1, 1, 1, 1, 1, 1
2.835170500000000, 0, 1, 1, 1, 1, 1, 1, 1
2.835171500000000, 0, 1, 0, 1, 1, 1, 1, 1
2.835221750000000, 0, 0, 1, 1, 1, 1, 1, 1
2.835247333333334, 0, 1, 1, 1, 1, 1, 1, 1
2.835248333333333, 0, 1, 0, 1, 1, 1, 1, 1
2.835298500000000, 0, 1, 1, 1, 1, 1, 1, 1
2.835298583333334, 0, 0, 1, 1, 1, 1, 1, 1
